date,V13 Dec13,V13 Dec14 - close,V14 Dec14 - close
8/29/11,18.5,0,0
8/30/11,21.5,0,0
8/31/11,21.5,0,0
9/1/11,22.5,0,0
9/2/11,22.5,0,0
9/5/11,22.5,0,0
9/6/11,23,0,0
9/7/11,23.75,0,0
9/8/11,21.5,0,0
9/9/11,21.5,0,0
9/12/11,18,0,0
9/13/11,18,0,0
9/14/11,18.25,0,0
9/15/11,18.25,0,0
9/16/11,18.25,0,0
9/19/11,18.25,0,0
9/20/11,18.25,0,0
9/21/11,18.5,0,0
9/22/11,18.75,0,0
9/23/11,18.75,0,0
9/26/11,18.75,0,0
9/27/11,18,0,0
9/28/11,18.4,0,0
9/29/11,18.75,0,0
9/30/11,18.75,0,0
10/3/11,19.25,0,0
10/4/11,19.25,0,0
10/5/11,18.25,0,0
10/6/11,18.25,0,0
10/7/11,18.25,0,0
10/10/11,18.25,0,0
10/11/11,18.25,0,0
10/12/11,18.5,0,0
10/13/11,19.5,0,0
10/14/11,19.75,0,0
10/17/11,19.75,0,0
10/18/11,19.25,0,0
10/19/11,19.25,0,0
10/20/11,18.75,0,0
10/21/11,18.75,0,0
10/24/11,18.6,0,0
10/25/11,18.6,0,0
10/26/11,18.25,0,0
10/27/11,18.25,0,0
10/28/11,18.25,0,0
10/31/11,18.25,0,0
11/1/11,18.25,0,0
11/2/11,18,0,0
11/3/11,16.8,0,0
11/4/11,16.8,0,0
11/7/11,16.8,0,0
11/8/11,16.75,0,0
11/9/11,17.2,0,0
11/10/11,17.45,0,0
11/11/11,17.45,0,0
11/14/11,17.6,0,0
11/15/11,17.6,0,0
11/16/11,17.5,0,0
11/17/11,16.75,0,0
11/18/11,16.25,0,0
11/21/11,15.95,0,0
11/22/11,16,0,0
11/23/11,16,0,0
11/24/11,16,0,0
11/25/11,16,0,0
11/28/11,15.6,0,0
11/29/11,15.8,0,0
11/30/11,16.25,0,0
12/1/11,16.25,0,0
12/2/11,16.25,0,0
12/5/11,15.9,0,0
12/6/11,15.6,0,0
12/7/11,15.6,0,0
12/8/11,15.7,0,0
12/9/11,15.7,0,0
12/12/11,15.7,0,0
12/13/11,15.7,0,0
12/14/11,15.7,0,0
12/15/11,15.5,0,0
12/16/11,15.5,0,0
12/19/11,15.5,0,0
12/20/11,15.5,0,0
12/21/11,15.5,0,0
12/22/11,16,0,0
12/23/11,16,0,0
12/27/11,16,0,0
12/28/11,16.5,0,0
12/29/11,16.15,0,0
12/30/11,15.5,0,0
