date,Blank,Electric Power,Industrial,Transp. Fuels & Nat. Gas,Agriculture and Forestry,Uncapped Electricity/ Industrial,High Warming Potential Gases,Other Uncapped,cap,policy,view,link
Business-as-Usual 2020,0,98.35,74.21,236.28,23.5,25.11,36.11,13.22,334.2,0,1, 
Advanced Clean Cars (Pavley II),502.98,,,3.8,,,,,334.2,1,1,http://www.arb.ca.gov/msprog/consumer_info/advanced_clean_cars/consumer_acc.htm
Regional Transportation Targets,499.98,,,3,,,,,334.2,1,1,http://arb.ca.gov/cc/sb375/staffreport_sb375080910.pdf
Vehicle Efficiency Measures,499.38,,,0.6,,,,,334.2,1,1,http://www.arb.ca.gov/regact/2009/tirepres09/tireisor.pdf
Goods Movement,499.18,,,0.2,,,,,334.2,1,1,http://www.arb.ca.gov/planning/gmerp/gmerp.htm
Low Carbon Fuel Standard,484.18,, ,15,,,,,334.2,1,1,http://www.arb.ca.gov/fuels/lcfs/lcfs.htm
Medium/Heavy Duty Vehicles,483.28,,,0.9,,,,,334.2,1,1,http://www.arb.ca.gov/regact/2008/ghghdv08/ghgisor.pdf
High Speed Rail,482.28,,,1,,,,,334.2,1,1,http://www.hsr.ca.gov/
Renewable Energy Standard,470.88,11.4,,,,,,,334.2,1,1,http://www.arb.ca.gov/regact/2010/res2010/res10isor.pdf
Million Solar Roofs,469.78,1.1,,,,,,,334.2,1,1,http://www.cpuc.ca.gov/PUC/energy/Solar/aboutsolar.htm
Energy Efficiency,457.88,11.9,,,,,,,334.2,1,1,http://www.cpuc.ca.gov/PUC/energy/Energy+Efficiency/
High Global Warming Potential Gases,451.38,,,,,,6.5,,334.2,1,1,http://www.arb.ca.gov/cc/ghgsectors/ghgsectors.htm#high
Sustainable Forests,446.38,,,,5,,,,334.2,1,1,http://www.arb.ca.gov/cc/forestry/forestry.htm
Recycling/Waste Measures,444.88,,,,,,,1.5,334.2,1,1,http://www.arb.ca.gov/cc/waste/waste.htm
2020 Emissions with Complementary Policies,,73.95,74.21,211.78,18.5,25.11,29.61,11.72,334.2,0,1,
