date,V13 Dec13 - price,V14 Dec14 - price,V14 Dec14 - volume,V15 Dec15 - price,V15 Dec15 - volume,V16 Dec16 - price,V16 Dec16 - volume,V17 Dec17 - price,V17 Dec17 - volume,V18 Dec18 - price,V18 Dec18 - volume
8/29/11,18.5,,,,,,,,,,
8/30/11,21.5,,,,,,,,,,
8/31/11,21.5,,,,,,,,,,
9/1/11,22.5,,,,,,,,,,
9/2/11,22.5,,,,,,,,,,
9/5/11,22.5,,,,,,,,,,
9/6/11,23,,,,,,,,,,
9/7/11,23.75,,,,,,,,,,
9/8/11,21.5,,,,,,,,,,
9/9/11,21.5,,,,,,,,,,
9/12/11,18,,,,,,,,,,
9/13/11,18,,,,,,,,,,
9/14/11,18.25,,,,,,,,,,
9/15/11,18.25,,,,,,,,,,
9/16/11,18.25,,,,,,,,,,
9/19/11,18.25,,,,,,,,,,
9/20/11,18.25,,,,,,,,,,
9/21/11,18.5,,,,,,,,,,
9/22/11,18.75,,,,,,,,,,
9/23/11,18.75,,,,,,,,,,
9/26/11,18.75,,,,,,,,,,
9/27/11,18,,,,,,,,,,
9/28/11,18.4,,,,,,,,,,
9/29/11,18.75,,,,,,,,,,
9/30/11,18.75,,,,,,,,,,
10/3/11,19.25,,,,,,,,,,
10/4/11,19.25,,,,,,,,,,
10/5/11,18.25,,,,,,,,,,
10/6/11,18.25,,,,,,,,,,
10/7/11,18.25,,,,,,,,,,
10/10/11,18.25,,,,,,,,,,
10/11/11,18.25,,,,,,,,,,
10/12/11,18.5,,,,,,,,,,
10/13/11,19.5,,,,,,,,,,
10/14/11,19.75,,,,,,,,,,
10/17/11,19.75,,,,,,,,,,
10/18/11,19.25,,,,,,,,,,
10/19/11,19.25,,,,,,,,,,
10/20/11,18.75,,,,,,,,,,
10/21/11,18.75,,,,,,,,,,
10/24/11,18.6,,,,,,,,,,
10/25/11,18.6,,,,,,,,,,
10/26/11,18.25,,,,,,,,,,
10/27/11,18.25,,,,,,,,,,
10/28/11,18.25,,,,,,,,,,
10/31/11,18.25,,,,,,,,,,
11/1/11,18.25,,,,,,,,,,
11/2/11,18,,,,,,,,,,
11/3/11,16.8,,,,,,,,,,
11/4/11,16.8,,,,,,,,,,
11/7/11,16.8,,,,,,,,,,
11/8/11,16.75,,,,,,,,,,
11/9/11,17.2,,,,,,,,,,
11/10/11,17.45,,,,,,,,,,
11/11/11,17.45,,,,,,,,,,
11/14/11,17.6,,,,,,,,,,
11/15/11,17.6,,,,,,,,,,
11/16/11,17.5,,,,,,,,,,
11/17/11,16.75,,,,,,,,,,
11/18/11,16.25,,,,,,,,,,
11/21/11,15.95,,,,,,,,,,
11/22/11,16,,,,,,,,,,
11/23/11,16,,,,,,,,,,
11/24/11,16,,,,,,,,,,
11/25/11,16,,,,,,,,,,
11/28/11,15.6,,,,,,,,,,
11/29/11,15.8,,,,,,,,,,
11/30/11,16.25,,,,,,,,,,
12/1/11,16.25,,,,,,,,,,
12/2/11,16.25,,,,,,,,,,
